subregion1_code,date,type,new_confirmed_pred
ND,2021-10-16,prediction,1120.823
ND,2021-10-17,prediction,1119.699
ND,2021-10-18,prediction,1116.307
ND,2021-10-19,prediction,1118.071
ND,2021-10-20,prediction,1116.071
ND,2021-10-21,prediction,1116.42
ND,2021-10-22,prediction,1121.476
ND,2021-10-23,prediction,1117.418
ND,2021-10-24,prediction,1114.543
ND,2021-10-25,prediction,1120.012
ND,2021-10-26,prediction,1117.422
ND,2021-10-27,prediction,1119.186
ND,2021-10-28,prediction,1116.5
ND,2021-10-29,prediction,1119.788
ND,2021-10-30,prediction,1122.928
ND,2021-10-31,prediction,1121.467
ND,2021-11-01,prediction,1117.515
ND,2021-11-02,prediction,1120.11
ND,2021-11-03,prediction,1121.209
ND,2021-11-04,prediction,1117.273
ND,2021-11-05,prediction,1115.839
ND,2021-11-06,forecast,1116.013
ND,2021-11-07,forecast,1120.263
ND,2021-11-08,forecast,1115.964
ND,2021-11-09,forecast,1119.121
ND,2021-11-10,forecast,1123.105
ND,2021-11-11,forecast,1121.819
ND,2021-11-12,forecast,1118.037
ND,2021-11-13,forecast,1116.675
ND,2021-11-14,forecast,1119.982
ND,2021-11-15,forecast,1125.374
ND,2021-11-16,forecast,1121.945
ND,2021-11-17,forecast,1122.806
ND,2021-11-18,forecast,1122.287
ND,2021-11-19,forecast,1121.8
ND,2021-11-20,forecast,1115.832
ND,2021-11-21,forecast,1119.934
ND,2021-11-22,forecast,1119.926
ND,2021-11-23,forecast,1122.854
ND,2021-11-24,forecast,1114.041
ND,2021-11-25,forecast,1114.503
ND,2021-11-26,forecast,1116.698
ND,2021-11-27,forecast,1115.467
ND,2021-11-28,forecast,1114.053
ND,2021-11-29,forecast,1119.702
ND,2021-11-30,forecast,1122.337
ND,2021-12-01,forecast,1120.107
ND,2021-12-02,forecast,1120.438
ND,2021-12-03,forecast,1119.215
NE,2021-10-16,prediction,4434.760200000001
NE,2021-10-17,prediction,4448.9572
NE,2021-10-18,prediction,4452.0382
NE,2021-10-19,prediction,4456.666200000001
NE,2021-10-20,prediction,4455.7122
NE,2021-10-21,prediction,4483.5032
NE,2021-10-22,prediction,4447.7492
NE,2021-10-23,prediction,4438.599200000001
NE,2021-10-24,prediction,4452.5352
NE,2021-10-25,prediction,4557.487800000001
NE,2021-10-26,prediction,4561.3782
NE,2021-10-27,prediction,4449.1722
NE,2021-10-28,prediction,4454.2522
NE,2021-10-29,prediction,4433.0732
NE,2021-10-30,prediction,4416.425200000001
NE,2021-10-31,prediction,4438.7712
NE,2021-11-01,prediction,4444.3072
NE,2021-11-02,prediction,4347.9332
NE,2021-11-03,prediction,4441.8702
NE,2021-11-04,prediction,4441.0092
NE,2021-11-05,prediction,4358.6052
NE,2021-11-06,forecast,4339.8022
NE,2021-11-07,forecast,4387.8722
NE,2021-11-08,forecast,4461.0722000000005
NE,2021-11-09,forecast,4459.1642
NE,2021-11-10,forecast,4452.059200000001
NE,2021-11-11,forecast,4458.1462
NE,2021-11-12,forecast,4461.1452
NE,2021-11-13,forecast,4435.9612
NE,2021-11-14,forecast,4456.2382
NE,2021-11-15,forecast,4455.0452000000005
NE,2021-11-16,forecast,4455.541200000001
NE,2021-11-17,forecast,4432.635200000001
NE,2021-11-18,forecast,4444.2412
NE,2021-11-19,forecast,4418.6362
NE,2021-11-20,forecast,4429.8342
NE,2021-11-21,forecast,4430.3042000000005
NE,2021-11-22,forecast,4455.0622
NE,2021-11-23,forecast,4343.8622000000005
NE,2021-11-24,forecast,4432.6742
NE,2021-11-25,forecast,4437.6812
NE,2021-11-26,forecast,4359.6792000000005
NE,2021-11-27,forecast,4341.8312000000005
NE,2021-11-28,forecast,4340.5982
NE,2021-11-29,forecast,4377.9732
NE,2021-11-30,forecast,4562.219
NE,2021-12-01,forecast,4455.7972
NE,2021-12-02,forecast,4461.943200000001
NE,2021-12-03,forecast,4456.4502
ID,2021-10-16,prediction,1884.3088
ID,2021-10-17,prediction,1861.6352
ID,2021-10-18,prediction,1848.6674
ID,2021-10-19,prediction,1841.2158
ID,2021-10-20,prediction,1853.758
ID,2021-10-21,prediction,1836.6402
ID,2021-10-22,prediction,1850.6574
ID,2021-10-23,prediction,1858.4124000000002
ID,2021-10-24,prediction,1854.9732
ID,2021-10-25,prediction,1850.295
ID,2021-10-26,prediction,1847.6948
ID,2021-10-27,prediction,1819.633
ID,2021-10-28,prediction,1845.7224
ID,2021-10-29,prediction,1847.2164000000002
ID,2021-10-30,prediction,1858.1812
ID,2021-10-31,prediction,1857.516
ID,2021-11-01,prediction,1848.24
ID,2021-11-02,prediction,1857.234
ID,2021-11-03,prediction,1865.7758000000001
ID,2021-11-04,prediction,1854.0701999999999
ID,2021-11-05,prediction,1842.8704000000002
ID,2021-11-06,forecast,1854.225
ID,2021-11-07,forecast,1849.582
ID,2021-11-08,forecast,1846.2538
ID,2021-11-09,forecast,1832.5908
ID,2021-11-10,forecast,1853.6612
ID,2021-11-11,forecast,1859.863
ID,2021-11-12,forecast,1844.3754000000001
ID,2021-11-13,forecast,1856.1674
ID,2021-11-14,forecast,1866.4862
ID,2021-11-15,forecast,1852.598
ID,2021-11-16,forecast,1852.77
ID,2021-11-17,forecast,1871.1458
ID,2021-11-18,forecast,1853.4874000000002
ID,2021-11-19,forecast,1848.5024
ID,2021-11-20,forecast,1873.7112
ID,2021-11-21,forecast,1862.1778
ID,2021-11-22,forecast,1855.637
ID,2021-11-23,forecast,1850.767
ID,2021-11-24,forecast,1888.7598
ID,2021-11-25,forecast,1862.9461999999999
ID,2021-11-26,forecast,1847.7664000000002
ID,2021-11-27,forecast,1862.6368
ID,2021-11-28,forecast,1856.003
ID,2021-11-29,forecast,1831.9578000000001
ID,2021-11-30,forecast,1850.589
ID,2021-12-01,forecast,1852.974
ID,2021-12-02,forecast,1864.018
ID,2021-12-03,forecast,1852.1814000000002
IL,2021-10-16,prediction,5760.1422
IL,2021-10-17,prediction,5770.0352
IL,2021-10-18,prediction,5761.164400000001
IL,2021-10-19,prediction,5787.3494
IL,2021-10-20,prediction,5761.312400000001
IL,2021-10-21,prediction,5775.1194000000005
IL,2021-10-22,prediction,5770.9694
IL,2021-10-23,prediction,5801.089400000001
IL,2021-10-24,prediction,5774.6034
IL,2021-10-25,prediction,5777.397400000001
IL,2021-10-26,prediction,5790.7194
IL,2021-10-27,prediction,5796.3094
IL,2021-10-28,prediction,5779.5864
IL,2021-10-29,prediction,5789.8864
IL,2021-10-30,prediction,5774.7844000000005
IL,2021-10-31,prediction,5776.5854
IL,2021-11-01,prediction,5784.85
IL,2021-11-02,prediction,5780.4204
IL,2021-11-03,prediction,5764.759400000001
IL,2021-11-04,prediction,5770.1984
IL,2021-11-05,prediction,5774.4934
IL,2021-11-06,forecast,5781.1354
IL,2021-11-07,forecast,5773.4024
IL,2021-11-08,forecast,5765.392400000001
IL,2021-11-09,forecast,5781.0724
IL,2021-11-10,forecast,5763.414400000001
IL,2021-11-11,forecast,5774.8134
IL,2021-11-12,forecast,5816.0704000000005
IL,2021-11-13,forecast,5800.1814
IL,2021-11-14,forecast,5817.8314
IL,2021-11-15,forecast,5809.884400000001
IL,2021-11-16,forecast,5766.6954000000005
IL,2021-11-17,forecast,5795.3094
IL,2021-11-18,forecast,5784.535400000001
IL,2021-11-19,forecast,5808.937400000001
IL,2021-11-20,forecast,5816.6974
IL,2021-11-21,forecast,5831.0474
IL,2021-11-22,forecast,5790.993
IL,2021-11-23,forecast,5771.365400000001
IL,2021-11-24,forecast,5773.026400000001
IL,2021-11-25,forecast,5784.272400000001
IL,2021-11-26,forecast,5775.254400000001
IL,2021-11-27,forecast,5800.6484
IL,2021-11-28,forecast,5773.4394
IL,2021-11-29,forecast,5780.6704
IL,2021-11-30,forecast,5766.3604000000005
IL,2021-12-01,forecast,5771.2824
IL,2021-12-02,forecast,5795.794400000001
IL,2021-12-03,forecast,5804.3964000000005
IN,2021-10-16,prediction,3817.395
IN,2021-10-17,prediction,3847.149
IN,2021-10-18,prediction,3817.374
IN,2021-10-19,prediction,4113.302
IN,2021-10-20,prediction,3795.134
IN,2021-10-21,prediction,4024.94
IN,2021-10-22,prediction,3904.125
IN,2021-10-23,prediction,3898.751
IN,2021-10-24,prediction,3885.246
IN,2021-10-25,prediction,3405.941
IN,2021-10-26,prediction,3721.132
IN,2021-10-27,prediction,3752.68
IN,2021-10-28,prediction,3739.737
IN,2021-10-29,prediction,3667.186
IN,2021-10-30,prediction,3703.18
IN,2021-10-31,prediction,3704.061
IN,2021-11-01,prediction,3759.808
IN,2021-11-02,prediction,3766.626
IN,2021-11-03,prediction,3804.686
IN,2021-11-04,prediction,3743.899
IN,2021-11-05,prediction,3632.652
IN,2021-11-06,forecast,3656.543
IN,2021-11-07,forecast,3559.766
IN,2021-11-08,forecast,3782.62
IN,2021-11-09,forecast,3911.858
IN,2021-11-10,forecast,3883.632
IN,2021-11-11,forecast,3787.69
IN,2021-11-12,forecast,3986.149
IN,2021-11-13,forecast,3871.755
IN,2021-11-14,forecast,3787.547
IN,2021-11-15,forecast,3797.221
IN,2021-11-16,forecast,3908.611
IN,2021-11-17,forecast,3998.145
IN,2021-11-18,forecast,3769.503
IN,2021-11-19,forecast,3727.625
IN,2021-11-20,forecast,3620.35
IN,2021-11-21,forecast,3683.92
IN,2021-11-22,forecast,3758.29
IN,2021-11-23,forecast,3794.465
IN,2021-11-24,forecast,3720.438
IN,2021-11-25,forecast,3708.834
IN,2021-11-26,forecast,3707.194
IN,2021-11-27,forecast,3707.834
IN,2021-11-28,forecast,3712.067
IN,2021-11-29,forecast,3718.506
IN,2021-11-30,forecast,3797.454
IN,2021-12-01,forecast,3897.373
IN,2021-12-02,forecast,3845.406
IN,2021-12-03,forecast,3737.692
KS,2021-10-16,prediction,4108.760800000002
KS,2021-10-17,prediction,3632.3968000000023
KS,2021-10-18,prediction,4087.8308000000025
KS,2021-10-19,prediction,3869.6502000000023
KS,2021-10-20,prediction,4020.000800000002
KS,2021-10-21,prediction,3647.6982000000025
KS,2021-10-22,prediction,3668.3718000000026
KS,2021-10-23,prediction,4073.464800000002
KS,2021-10-24,prediction,3654.791400000003
KS,2021-10-25,prediction,4296.122400000003
KS,2021-10-26,prediction,2687.6334000000024
KS,2021-10-27,prediction,4121.569000000002
KS,2021-10-28,prediction,3769.106400000003
KS,2021-10-29,prediction,3558.0914000000016
KS,2021-10-30,prediction,3604.8970000000027
KS,2021-10-31,prediction,4181.121600000002
KS,2021-11-01,prediction,3674.5086000000024
KS,2021-11-02,prediction,3759.8068000000026
KS,2021-11-03,prediction,3066.235800000003
KS,2021-11-04,prediction,4504.3200000000015
KS,2021-11-05,prediction,3778.0426000000034
KS,2021-11-06,forecast,2831.210200000003
KS,2021-11-07,forecast,4188.775600000003
KS,2021-11-08,forecast,3785.4600000000028
KS,2021-11-09,forecast,3740.4040000000027
KS,2021-11-10,forecast,2771.0652000000027
KS,2021-11-11,forecast,3782.9578000000024
KS,2021-11-12,forecast,3707.5278000000026
KS,2021-11-13,forecast,3773.8406000000023
KS,2021-11-14,forecast,4071.8514000000023
KS,2021-11-15,forecast,3772.0000000000027
KS,2021-11-16,forecast,4310.362000000002
KS,2021-11-17,forecast,2851.2758000000026
KS,2021-11-18,forecast,4436.257800000001
KS,2021-11-19,forecast,4029.9460000000026
KS,2021-11-20,forecast,3740.179200000002
KS,2021-11-21,forecast,4080.891000000003
KS,2021-11-22,forecast,4456.711400000001
KS,2021-11-23,forecast,3714.7638000000024
KS,2021-11-24,forecast,3361.209400000003
KS,2021-11-25,forecast,2901.238200000003
KS,2021-11-26,forecast,4549.244800000001
KS,2021-11-27,forecast,4109.590400000003
KS,2021-11-28,forecast,3805.991400000002
KS,2021-11-29,forecast,4483.100000000002
KS,2021-11-30,forecast,3749.626600000003
KS,2021-12-01,forecast,3764.171400000003
KS,2021-12-02,forecast,3731.4820000000027
KS,2021-12-03,forecast,3759.113400000003
LA,2021-10-16,prediction,6742.336200000005
LA,2021-10-17,prediction,6749.3426000000045
LA,2021-10-18,prediction,6728.765000000006
LA,2021-10-19,prediction,6755.341800000005
LA,2021-10-20,prediction,6755.341800000005
LA,2021-10-21,prediction,6734.220000000006
LA,2021-10-22,prediction,6747.984600000004
LA,2021-10-23,prediction,6747.387600000005
LA,2021-10-24,prediction,6741.519200000005
LA,2021-10-25,prediction,6728.783800000006
LA,2021-10-26,prediction,6675.061400000005
LA,2021-10-27,prediction,6723.465200000005
LA,2021-10-28,prediction,6699.265800000005
LA,2021-10-29,prediction,6770.836400000005
LA,2021-10-30,prediction,6738.7230000000045
LA,2021-10-31,prediction,6740.473200000004
LA,2021-11-01,prediction,6749.871200000005
