subregion1_code,date,type,new_confirmed_pred
ND,2021-10-16,prediction,2655.6306054927495
ND,2021-10-17,prediction,2698.685885107215
ND,2021-10-18,prediction,2783.4394446970637
ND,2021-10-19,prediction,2783.4394446970637
ND,2021-10-20,prediction,2783.4394446970637
ND,2021-10-21,prediction,2783.4394446970637
ND,2021-10-22,prediction,2783.4394446970637
ND,2021-10-23,prediction,2610.9191205100574
ND,2021-10-24,prediction,6389.173882162482
ND,2021-10-25,prediction,6389.173882162482
ND,2021-10-26,prediction,2783.4394446970637
ND,2021-10-27,prediction,6389.173882162482
ND,2021-10-28,prediction,6389.173882162482
ND,2021-10-29,prediction,6389.173882162482
ND,2021-10-30,prediction,2783.4394446970637
ND,2021-10-31,prediction,2783.4394446970637
ND,2021-11-01,prediction,2783.4394446970637
ND,2021-11-02,prediction,2783.4394446970637
ND,2021-11-03,prediction,2783.4394446970637
ND,2021-11-04,prediction,2783.4394446970637
ND,2021-11-05,prediction,2783.4394446970637
ND,2021-11-06,forecast,2655.6306054927495
ND,2021-11-07,forecast,2783.4394446970637
ND,2021-11-08,forecast,2783.4394446970637
ND,2021-11-09,forecast,2783.4394446970637
ND,2021-11-10,forecast,2783.4394446970637
ND,2021-11-11,forecast,2783.4394446970637
ND,2021-11-12,forecast,2783.4394446970637
ND,2021-11-13,forecast,2610.9191205100574
ND,2021-11-14,forecast,6389.173882162482
ND,2021-11-15,forecast,2783.4394446970637
ND,2021-11-16,forecast,2783.4394446970637
ND,2021-11-17,forecast,2783.4394446970637
ND,2021-11-18,forecast,6389.173882162482
ND,2021-11-19,forecast,2828.4809040320742
ND,2021-11-20,forecast,2783.4394446970637
ND,2021-11-21,forecast,2828.4809040320742
ND,2021-11-22,forecast,2783.4394446970637
ND,2021-11-23,forecast,2783.4394446970637
ND,2021-11-24,forecast,2783.4394446970637
ND,2021-11-25,forecast,2783.4394446970637
ND,2021-11-26,forecast,2698.685885107215
ND,2021-11-27,forecast,2783.4394446970637
ND,2021-11-28,forecast,2698.685885107215
