subregion1_code,date,type,new_confirmed_pred
ND,2021-10-16,prediction,1320.2845
ND,2021-10-17,prediction,1004.22485
ND,2021-10-18,prediction,1044.0807
ND,2021-10-19,prediction,1139.9633
ND,2021-10-20,prediction,1229.1595
ND,2021-10-21,prediction,1056.8131
ND,2021-10-22,prediction,1319.5242
ND,2021-10-23,prediction,1346.6744
ND,2021-10-24,prediction,1332.3783
ND,2021-10-25,prediction,1152.6676
ND,2021-10-26,prediction,1538.2687
ND,2021-10-27,prediction,1228.1014
ND,2021-10-28,prediction,1157.382
ND,2021-10-29,prediction,1168.7794
ND,2021-10-30,prediction,1238.267
ND,2021-10-31,prediction,1306.8304
ND,2021-11-01,prediction,1278.6587
ND,2021-11-02,prediction,1133.6189
ND,2021-11-03,prediction,1142.419
ND,2021-11-04,prediction,1184.3899
ND,2021-11-05,prediction,1142.0978
ND,2021-11-06,forecast,1225.4423
ND,2021-11-07,forecast,1279.634
ND,2021-11-08,forecast,1188.4829
ND,2021-11-09,forecast,1138.2063
ND,2021-11-10,forecast,1422.5168
ND,2021-11-11,forecast,1246.8704
ND,2021-11-12,forecast,1144.7736
ND,2021-11-13,forecast,1666.269
ND,2021-11-14,forecast,1196.6155
ND,2021-11-15,forecast,1458.0385
ND,2021-11-16,forecast,1002.4075
ND,2021-11-17,forecast,1229.9044
ND,2021-11-18,forecast,1258.1593
ND,2021-11-19,forecast,1303.8865
ND,2021-11-20,forecast,1186.4143
ND,2021-11-21,forecast,1258.799
ND,2021-11-22,forecast,1302.6555
ND,2021-11-23,forecast,1241.6119
ND,2021-11-24,forecast,1012.4481
ND,2021-11-25,forecast,1390.5071
ND,2021-11-26,forecast,1183.336
ND,2021-11-27,forecast,1432.761
ND,2021-11-28,forecast,958.95715
ND,2021-11-29,forecast,1116.9916
ND,2021-11-30,forecast,1193.6774
ND,2021-12-01,forecast,1176.7865
ND,2021-12-02,forecast,1392.8749
ND,2021-12-03,forecast,1487.4568
NE,2021-10-16,prediction,1437.3745
NE,2021-10-17,prediction,1314.9109
NE,2021-10-18,prediction,1367.8123
NE,2021-10-19,prediction,1467.7877
NE,2021-10-20,prediction,1796.7031
NE,2021-10-21,prediction,1725.0969
NE,2021-10-22,prediction,1827.6576
NE,2021-10-23,prediction,1543.0027
NE,2021-10-24,prediction,1542.6758
NE,2021-10-25,prediction,1379.902
NE,2021-10-26,prediction,2456.29
NE,2021-10-27,prediction,1724.9465
NE,2021-10-28,prediction,1928.0474
NE,2021-10-29,prediction,2062.4504
NE,2021-10-30,prediction,1986.7754
NE,2021-10-31,prediction,1590.929
NE,2021-11-01,prediction,1482.595
NE,2021-11-02,prediction,1838.3544
NE,2021-11-03,prediction,2033.3575
NE,2021-11-04,prediction,1820.2191
NE,2021-11-05,prediction,2195.8845
NE,2021-11-06,forecast,1355.8954
NE,2021-11-07,forecast,1893.3201
NE,2021-11-08,forecast,1682.6855
NE,2021-11-09,forecast,2062.784
NE,2021-11-10,forecast,1752.9938
NE,2021-11-11,forecast,2118.4912
NE,2021-11-12,forecast,1713.2708
NE,2021-11-13,forecast,1767.7018
NE,2021-11-14,forecast,1559.7657
NE,2021-11-15,forecast,1574.3875
NE,2021-11-16,forecast,1630.7115
NE,2021-11-17,forecast,2113.4888
NE,2021-11-18,forecast,1789.1405
NE,2021-11-19,forecast,2070.1238
NE,2021-11-20,forecast,1943.9127
NE,2021-11-21,forecast,2070.8245
NE,2021-11-22,forecast,1558.7347
NE,2021-11-23,forecast,1715.6412
NE,2021-11-24,forecast,1890.8201
NE,2021-11-25,forecast,2383.272
NE,2021-11-26,forecast,1741.2993
NE,2021-11-27,forecast,1696.5435
NE,2021-11-28,forecast,1734.0298
NE,2021-11-29,forecast,2068.4712
NE,2021-11-30,forecast,1853.047
NE,2021-12-01,forecast,1708.2739
NE,2021-12-02,forecast,1815.8285
NE,2021-12-03,forecast,2155.619
ID,2021-10-16,prediction,2839.2576
ID,2021-10-17,prediction,2443.5164
ID,2021-10-18,prediction,2534.067
ID,2021-10-19,prediction,2171.887
ID,2021-10-20,prediction,3537.8247
ID,2021-10-21,prediction,2856.6558
ID,2021-10-22,prediction,2534.785
ID,2021-10-23,prediction,2767.1155
ID,2021-10-24,prediction,2700.3943
ID,2021-10-25,prediction,2363.2969
ID,2021-10-26,prediction,2243.1184
ID,2021-10-27,prediction,2718.523
ID,2021-10-28,prediction,2701.7766
ID,2021-10-29,prediction,2751.8547
ID,2021-10-30,prediction,2510.8997
ID,2021-10-31,prediction,2678.82
ID,2021-11-01,prediction,2470.8345
ID,2021-11-02,prediction,2549.3308
ID,2021-11-03,prediction,2558.2253
ID,2021-11-04,prediction,2859.4634
ID,2021-11-05,prediction,2532.1418
ID,2021-11-06,forecast,2822.6387
ID,2021-11-07,forecast,2560.636
ID,2021-11-08,forecast,2952.8975
ID,2021-11-09,forecast,2828.903
ID,2021-11-10,forecast,2133.877
ID,2021-11-11,forecast,2749.0205
ID,2021-11-12,forecast,2590.4395
ID,2021-11-13,forecast,2483.1777
ID,2021-11-14,forecast,2599.9084
ID,2021-11-15,forecast,2666.6877
ID,2021-11-16,forecast,2413.8096
ID,2021-11-17,forecast,2419.9968
ID,2021-11-18,forecast,2459.9077
ID,2021-11-19,forecast,2534.4836
ID,2021-11-20,forecast,2219.0276
ID,2021-11-21,forecast,2666.3118
ID,2021-11-22,forecast,2342.8237
ID,2021-11-23,forecast,2463.933
ID,2021-11-24,forecast,2317.5505
ID,2021-11-25,forecast,2695.7236
ID,2021-11-26,forecast,2614.5327
ID,2021-11-27,forecast,2368.1873
ID,2021-11-28,forecast,2580.465
ID,2021-11-29,forecast,3309.2385
ID,2021-11-30,forecast,3092.274
ID,2021-12-01,forecast,2971.662
ID,2021-12-02,forecast,2420.433
ID,2021-12-03,forecast,2706.6528
IL,2021-10-16,prediction,7094.3237
IL,2021-10-17,prediction,6124.5625
IL,2021-10-18,prediction,7444.41
IL,2021-10-19,prediction,8366.232
IL,2021-10-20,prediction,7970.1426
IL,2021-10-21,prediction,8737.269
IL,2021-10-22,prediction,7754.622
IL,2021-10-23,prediction,6988.1226
IL,2021-10-24,prediction,7361.5737
IL,2021-10-25,prediction,7114.4775
IL,2021-10-26,prediction,9664.8125
IL,2021-10-27,prediction,8461.916
IL,2021-10-28,prediction,7530.504
IL,2021-10-29,prediction,7324.235
IL,2021-10-30,prediction,6624.797
IL,2021-10-31,prediction,7727.6353
IL,2021-11-01,prediction,7087.602
IL,2021-11-02,prediction,8507.892
IL,2021-11-03,prediction,8155.489
IL,2021-11-04,prediction,7293.163
IL,2021-11-05,prediction,8946.835
IL,2021-11-06,forecast,7341.892
IL,2021-11-07,forecast,5867.3955
IL,2021-11-08,forecast,8427.452
IL,2021-11-09,forecast,7697.994
IL,2021-11-10,forecast,7962.229
IL,2021-11-11,forecast,8854.443
IL,2021-11-12,forecast,8023.3237
IL,2021-11-13,forecast,6910.763
IL,2021-11-14,forecast,6982.0933
IL,2021-11-15,forecast,7316.2036
IL,2021-11-16,forecast,7118.034
IL,2021-11-17,forecast,9967.499
IL,2021-11-18,forecast,8046.626
IL,2021-11-19,forecast,7178.292
IL,2021-11-20,forecast,6551.284
IL,2021-11-21,forecast,8045.0576
IL,2021-11-22,forecast,7700.729
